"filename", "language", "JavaScript", "JSON", "PHP", "CSS", "Markdown", "HTML", "XML", "comment", "blank", "total"
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_CMmotorns_nuevo.json", "JSON", 0, 102836, 0, 0, 0, 0, 0, 0, 0, 102836
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors.json", "JSON", 0, 154889, 0, 0, 0, 0, 0, 0, 3, 154892
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_01-10.json", "JSON", 0, 2636, 0, 0, 0, 0, 0, 0, 6, 2642
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_02-10.json", "JSON", 0, 111113, 0, 0, 0, 0, 0, 0, 0, 111113
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_04-10.json", "JSON", 0, 111377, 0, 0, 0, 0, 0, 0, 0, 111377
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_05-11.json", "JSON", 0, 111473, 0, 0, 0, 0, 0, 0, 0, 111473
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_22-09.json", "JSON", 0, 68251, 0, 0, 0, 0, 0, 0, 0, 68251
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\Json_Cmmotors_antes.json", "JSON", 0, 63082, 0, 0, 0, 0, 0, 0, 0, 63082
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiCliente.js", "JavaScript", 36, 0, 0, 0, 0, 0, 0, 12, 7, 55
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiCotizacion.js", "JavaScript", 42, 0, 0, 0, 0, 0, 0, 12, 17, 71
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiDatos.js", "JavaScript", 34, 0, 0, 0, 0, 0, 0, 2, 14, 50
"c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\backupxd\consumirApiDetalleCotizacion.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 12, 17, 66
