Date : 2023-10-10 17:49:42
Directory : c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors
Total : 334 files,  937884 codes, 15860 comments, 6996 blanks, all 960740 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\app.3def9732.js                                           | JavaScript |         21 |          8 |          0 |         29 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\app.cc10c83a.css                                          | CSS        |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\livewire_events.521dd473.js                               | JavaScript |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\assets\loading.f7812020.js                                       | JavaScript |          1 |          0 |          1 |          2 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\build\manifest.json                                                    | JSON       |         22 |          0 |          0 |         22 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\app.css                                                            | CSS        |      2,357 |        127 |        219 |      2,703 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\desabilitarInputNumber.css                                         | CSS        |          6 |          0 |          2 |          8 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\index.css                                                          | CSS        |         34 |          4 |          2 |         40 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\invoice.css                                                        | CSS        |        168 |         18 |         24 |        210 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\css\print.css                                                          | CSS        |         18 |          0 |         18 |         36 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\coti.svg                                                  | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\venta.svg                                                 | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\ventas.svg                                                | XML        |      1,592 |          1 |          2 |      1,595 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\img\fotosPDF\wpp.svg                                                   | XML        |          1 |          0 |          0 |          1 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\inc\database.php                                                       | PHP        |         24 |          5 |          5 |         34 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\inc\getCodigos.php                                                     | PHP        |         13 |          1 |          8 |         22 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\index.php                                                              | PHP        |         14 |         30 |         12 |         56 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\adicionarProducto.js                                  | JavaScript |        342 |         68 |        113 |        523 |
| c:\xampp\htdocs\cmmotors\ProyectoInventarioMotors\public\js\Autocompletes\cliente_ventas.js                                     | JavaScript |        307 |        118 |         91 |        516 |
